symbol,rev_growth_score,pat_growth_score,roe_score,de_score,promoter_score,pe,pb,roe_pct,de_ratio,rev_growth_pct,pat_growth_pct,promoter_pct,eps,book_value,market_cap,last_updated,source
CAMS,6,6,6,2,2,41.2,14.77,35.85,0.0,1.79,1.79,0.0,19.1,53.28,195163799552.0,2026-05-27,yfinance
CDSL,2,2,5,2,3,56.98,13.26,23.28,0.0,1.43,1.43,68.6,21.83,93.77,259954212864.0,2026-05-27,yfinance
CELLO,2,2,2,2,2,28.19,3.8,13.48,0.0,-1.6,-1.6,0.0,13.97,103.61,86984523776.0,2026-05-27,yfinance
CENTRALBK,2,2,2,2,2,6.17,0.72,11.66,0.0,-0.58,-0.58,0.0,5.0,42.89,279145218048.0,2026-05-27,yfinance
CERA,5,5,2,2,2,36.57,5.08,13.89,0.0,0.95,0.95,0.0,158.51,1141.53,74746961920.0,2026-05-27,yfinance
CGPOWER,7,6,4,3,3,120.78,18.48,15.3,0.1,6.33,6.33,58.0,7.74,50.59,1472270041088.0,2026-05-27,yfinance
CHALET,3,3,4,2,2,27.12,4.73,17.46,0.0,1.42,1.42,0.0,29.5,168.98,175173402624.0,2026-05-27,yfinance
CHAMBLFERT,3,3,4,2,2,9.81,1.84,18.74,0.0,0.04,0.04,0.0,48.75,260.11,191571886080.0,2026-05-27,yfinance
CHEMPLASTS,2,2,3,2,2,0.0,2.0,0.0,0.0,-3.69,-3.69,0.0,-18.07,110.97,35136688128.0,2026-05-27,yfinance
CHENNPETRO,7,6,6,2,2,5.05,1.41,27.93,0.0,3.27,3.27,0.0,208.35,746.0,156818587648.0,2026-05-27,yfinance
CHOLAFIN,5,5,4,0,3,25.51,4.41,17.3,2.2,0.76,0.76,51.8,61.91,357.87,1345990688768.0,2026-05-27,yfinance
CHOLAHLDNG,3,3,4,2,2,12.59,1.99,15.8,0.0,-0.93,-0.93,0.0,130.04,822.93,307372916736.0,2026-05-27,yfinance
